INSTRUMENTO,FECHA,PRECIO SUCIO
52_ACTI500_B2,2018-01-16,4.211819
52_ACTI500_B3,2018-01-16,4.383442
52_ACTI500_D,2018-01-16,4.955822
52_ACTIPAT_A,2018-01-16,15.006236
52_ACTIPAT_B,2018-01-16,12.188047
52_ACTI500_A,2018-01-17,5.21005
52_ACTI500_B1,2018-01-17,3.829518
52_ACTI500_B2,2018-01-17,4.180754
52_ACTI500_B3,2018-01-17,4.35116
52_ACTI500_D,2018-01-17,4.919296
52_ACTIPAT_A,2018-01-17,15.051598
52_ACTIPAT_B,2018-01-17,12.223898
52_ACTI500_A,2018-01-18,5.210279
52_ACTI500_B1,2018-01-18,3.829382
52_ACTI500_B2,2018-01-18,4.180692
52_ACTI500_B3,2018-01-18,4.351143
52_ACTI500_D,2018-01-18,4.919249
52_ACTIPAT_A,2018-01-18,15.124299
52_ACTIPAT_B,2018-01-18,12.281945
52_ACTI500_A,2018-01-19,5.204396
52_ACTI500_B1,2018-01-19,3.824754
52_ACTI500_B2,2018-01-19,4.175726
52_ACTI500_B3,2018-01-19,4.346023
52_ACTI500_D,2018-01-19,4.913433
52_ACTIPAT_A,2018-01-19,15.123049
52_ACTIPAT_B,2018-01-19,12.279935
52_ACTI500_A,2018-01-22,5.223725
52_ACTI500_B1,2018-01-22,3.838044
52_ACTI500_B2,2018-01-22,4.190495
52_ACTI500_B3,2018-01-22,4.36154
52_ACTI500_D,2018-01-22,4.930891
52_ACTIPAT_A,2018-01-22,15.068293
52_ACTIPAT_B,2018-01-22,12.232496
52_ACTI500_A,2018-01-23,5.290641
52_ACTI500_B1,2018-01-23,3.886901
52_ACTI500_B2,2018-01-23,4.243926
52_ACTI500_B3,2018-01-23,4.417201
52_ACTI500_D,2018-01-23,4.993789
52_ACTIPAT_A,2018-01-23,15.101295
52_ACTIPAT_B,2018-01-23,12.258293
52_ACTI500_A,2018-01-24,5.310321
52_ACTI500_B1,2018-01-24,3.901049
52_ACTI500_B2,2018-01-24,4.259462
52_ACTI500_B3,2018-01-24,4.433421
52_ACTI500_D,2018-01-24,5.012097
52_ACTIPAT_A,2018-01-24,15.171534
52_ACTIPAT_B,2018-01-24,12.31431
52_ACTI500_A,2018-01-25,5.232804
52_ACTI500_B1,2018-01-25,3.843799
52_ACTI500_B2,2018-01-25,4.197038
52_ACTI500_B3,2018-01-25,4.368496
52_ACTI500_D,2018-01-25,4.93867
52_ACTIPAT_A,2018-01-25,15.262007
52_ACTIPAT_B,2018-01-25,12.386739
52_ACTI500_A,2018-01-26,5.269603
52_ACTI500_B1,2018-01-26,3.870522
52_ACTI500_B2,2018-01-26,4.226304
52_ACTI500_B3,2018-01-26,4.399007
52_ACTI500_D,2018-01-26,4.973135
52_ACTIPAT_A,2018-01-26,15.286034
52_ACTIPAT_B,2018-01-26,12.405233
52_ACTI500_A,2018-01-29,5.314193
52_ACTI500_B1,2018-01-29,3.902343
52_ACTI500_B2,2018-01-29,4.261315
52_ACTI500_B3,2018-01-29,4.435596
52_ACTI500_D,2018-01-29,5.014413
52_ACTIPAT_A,2018-01-29,15.361095
52_ACTIPAT_B,2018-01-29,12.463112
52_ACTI500_A,2018-01-30,5.298206
52_ACTI500_B1,2018-01-30,3.890294
52_ACTI500_B2,2018-01-30,4.248245
52_ACTI500_B3,2018-01-30,4.422041
52_ACTI500_D,2018-01-30,4.999061
52_ACTIPAT_A,2018-01-30,15.250149
52_ACTIPAT_B,2018-01-30,12.372093
52_ACTI500_A,2018-01-31,5.282465
52_ACTI500_B1,2018-01-31,3.878428
52_ACTI500_B2,2018-01-31,4.235374
52_ACTI500_B3,2018-01-31,4.408693
52_ACTI500_D,2018-01-31,4.983943
52_ACTIPAT_A,2018-01-31,15.121725
52_ACTIPAT_B,2018-01-31,12.266911
52_ACTI500_A,2018-02-01,5.252068
52_ACTI500_B1,2018-02-01,3.855804
52_ACTI500_B2,2018-02-01,4.210755
52_ACTI500_B3,2018-02-01,4.383115
52_ACTI500_D,2018-02-01,4.954999
52_ACTIPAT_A,2018-02-01,15.141948
52_ACTIPAT_B,2018-02-01,12.28232
52_ACTI500_A,2018-02-02,5.171318
52_ACTI500_B1,2018-02-02,3.79622
52_ACTI500_B2,2018-02-02,4.145771
52_ACTI500_B3,2018-02-02,4.315519
52_ACTI500_D,2018-02-02,4.878556
52_ACTIPAT_A,2018-02-02,15.220817
52_ACTIPAT_B,2018-02-02,12.345292
52_ACTI500_A,2018-02-06,5.113532
52_ACTI500_B1,2018-02-06,3.752606
52_ACTI500_B2,2018-02-06,4.098481
52_ACTI500_B3,2018-02-06,4.266483
52_ACTI500_D,2018-02-06,4.823011
52_ACTIPAT_A,2018-02-06,15.148757
52_ACTIPAT_B,2018-02-06,12.28286
52_ACTI500_A,2018-02-07,5.016918
52_ACTI500_B1,2018-02-07,3.681413
52_ACTI500_B2,2018-02-07,4.020809
52_ACTI500_B3,2018-02-07,4.185673
52_ACTI500_D,2018-02-07,4.731634
52_ACTIPAT_A,2018-02-07,14.829953
52_ACTIPAT_B,2018-02-07,12.023394
52_ACTI500_A,2018-02-08,5.012867
52_ACTI500_B1,2018-02-08,3.678148
52_ACTI500_B2,2018-02-08,4.017326
52_ACTI500_B3,2018-02-08,4.182094
52_ACTI500_D,2018-02-08,4.72756
52_ACTIPAT_A,2018-02-08,14.81114
52_ACTIPAT_B,2018-02-08,12.007168
52_ACTI500_A,2018-02-09,4.863293
52_ACTI500_B1,2018-02-09,3.568116
52_ACTI500_B2,2018-02-09,3.897228
52_ACTI500_B3,2018-02-09,4.057116
52_ACTI500_D,2018-02-09,4.586255
52_ACTIPAT_A,2018-02-09,14.50843
52_ACTIPAT_B,2018-02-09,11.760811
52_ACTI500_A,2018-02-12,4.917078
52_ACTI500_B1,2018-02-12,3.606717
52_ACTI500_B2,2018-02-12,3.939633
52_ACTI500_B3,2018-02-12,4.101397
52_ACTI500_D,2018-02-12,4.636232
52_ACTIPAT_A,2018-02-12,14.522685
52_ACTIPAT_B,2018-02-12,11.769502
52_ACTI500_A,2018-02-13,4.945426
52_ACTI500_B1,2018-02-13,3.627222
52_ACTI500_B2,2018-02-13,3.962113
52_ACTI500_B3,2018-02-13,4.124847
52_ACTI500_D,2018-02-13,4.662713
52_ACTIPAT_A,2018-02-13,14.524011
52_ACTIPAT_B,2018-02-13,11.769622
52_ACTI500_A,2018-02-14,4.965694
52_ACTI500_B1,2018-02-14,3.641798
52_ACTI500_B2,2018-02-14,3.978117
52_ACTI500_B3,2018-02-14,4.141554
52_ACTI500_D,2018-02-14,4.681572
52_ACTIPAT_A,2018-02-14,14.558058
52_ACTIPAT_B,2018-02-14,11.796256
52_ACTI500_A,2018-02-15,5.007796
52_ACTI500_B1,2018-02-15,3.672384
52_ACTI500_B2,2018-02-15,4.01161
52_ACTI500_B3,2018-02-15,4.176469
52_ACTI500_D,2018-02-15,4.721013
52_ACTIPAT_A,2018-02-15,14.624283
52_ACTIPAT_B,2018-02-15,11.848956
52_ACTI500_A,2018-02-16,5.059006
52_ACTI500_B1,2018-02-16,3.709644
52_ACTI500_B2,2018-02-16,4.052395
52_ACTI500_B3,2018-02-16,4.218977
52_ACTI500_D,2018-02-16,4.769036
52_ACTIPAT_A,2018-02-16,14.720006
52_ACTIPAT_B,2018-02-16,11.925546
52_ACTI500_A,2018-02-19,5.057653
52_ACTI500_B1,2018-02-19,3.707767
52_ACTI500_B2,2018-02-19,4.050597
52_ACTI500_B3,2018-02-19,4.217246
52_ACTI500_D,2018-02-19,4.766997
52_ACTIPAT_A,2018-02-19,14.731647
52_ACTIPAT_B,2018-02-19,11.932067
52_ACTI500_A,2018-02-20,5.057373
52_ACTI500_B1,2018-02-20,3.707267
52_ACTI500_B2,2018-02-20,4.050134
52_ACTI500_B3,2018-02-20,4.216811
52_ACTI500_D,2018-02-20,4.766478
52_ACTIPAT_A,2018-02-20,14.743264
52_ACTIPAT_B,2018-02-20,11.940507
52_ACTI500_A,2018-02-21,5.082886
52_ACTI500_B1,2018-02-21,3.725673
52_ACTI500_B2,2018-02-21,4.070326
52_ACTI500_B3,2018-02-21,4.237881
52_ACTI500_D,2018-02-21,4.790268
52_ACTIPAT_A,2018-02-21,14.705903
52_ACTIPAT_B,2018-02-21,11.909282
52_ACTI500_A,2018-02-22,5.073798
52_ACTI500_B1,2018-02-22,3.718717
52_ACTI500_B2,2018-02-22,4.06281
52_ACTI500_B3,2018-02-22,4.230103
52_ACTI500_D,2018-02-22,4.781448
52_ACTIPAT_A,2018-02-22,14.662488
52_ACTIPAT_B,2018-02-22,11.873159
52_ACTI500_A,2018-02-23,5.044669
52_ACTI500_B1,2018-02-23,3.697073
52_ACTI500_B2,2018-02-23,4.039248
52_ACTI500_B3,2018-02-23,4.205617
52_ACTI500_D,2018-02-23,4.753743
52_ACTIPAT_A,2018-02-23,14.820712
52_ACTIPAT_B,2018-02-23,12.000309
52_ACTI500_A,2018-02-26,5.101294
52_ACTI500_B1,2018-02-26,3.737681
52_ACTI500_B2,2018-02-26,4.083867
52_ACTI500_B3,2018-02-26,4.252216
52_ACTI500_D,2018-02-26,4.806333
52_ACTIPAT_A,2018-02-26,14.734579
52_ACTIPAT_B,2018-02-26,11.927662
52_ACTI500_A,2018-02-27,5.194017
52_ACTI500_B1,2018-02-27,3.805316
52_ACTI500_B2,2018-02-27,4.157852
52_ACTI500_B3,2018-02-27,4.329299
52_ACTI500_D,2018-02-27,4.893433
52_ACTIPAT_A,2018-02-27,14.664061
52_ACTIPAT_B,2018-02-27,11.869614
52_ACTI500_A,2018-02-28,5.165486
52_ACTI500_B1,2018-02-28,3.784113
52_ACTI500_B2,2018-02-28,4.13477
52_ACTI500_B3,2018-02-28,4.305313
52_ACTI500_D,2018-02-28,4.866294
52_ACTIPAT_A,2018-02-28,14.529504
52_ACTIPAT_B,2018-02-28,11.759743
52_ACTI500_A,2018-03-01,5.116752
52_ACTI500_B1,2018-03-01,3.748113
52_ACTI500_B2,2018-03-01,4.095519
52_ACTI500_B3,2018-03-01,4.264491
52_ACTI500_D,2018-03-01,4.820125
52_ACTIPAT_A,2018-03-01,14.460218
52_ACTIPAT_B,2018-03-01,11.702715
52_ACTI500_A,2018-03-02,5.056902
52_ACTI500_B1,2018-03-02,3.703978
52_ACTI500_B2,2018-03-02,4.047377
52_ACTI500_B3,2018-03-02,4.214409
52_ACTI500_D,2018-03-02,4.76349
52_ACTIPAT_A,2018-03-02,14.509697
52_ACTIPAT_B,2018-03-02,11.741805
52_ACTI500_A,2018-03-05,5.076146
52_ACTI500_B1,2018-03-05,3.717187
52_ACTI500_B2,2018-03-05,4.062063
52_ACTI500_B3,2018-03-05,4.229842
52_ACTI500_D,2018-03-05,4.780852
52_ACTIPAT_A,2018-03-05,14.458605
52_ACTIPAT_B,2018-03-05,11.697611
52_ACTI500_A,2018-03-06,5.136525
52_ACTI500_B1,2018-03-06,3.761103
52_ACTI500_B2,2018-03-06,4.110137
52_ACTI500_B3,2018-03-06,4.27995
52_ACTI500_D,2018-03-06,4.83746
52_ACTIPAT_A,2018-03-06,14.523839
52_ACTIPAT_B,2018-03-06,11.749435
52_ACTI500_A,2018-03-07,5.115465
52_ACTI500_B1,2018-03-07,3.745385
52_ACTI500_B2,2018-03-07,4.093045
52_ACTI500_B3,2018-03-07,4.262199
52_ACTI500_D,2018-03-07,4.817369
52_ACTIPAT_A,2018-03-07,14.576538
52_ACTIPAT_B,2018-03-07,11.79111
52_ACTI500_A,2018-03-08,5.114562
52_ACTI500_B1,2018-03-08,3.744426
52_ACTI500_B2,2018-03-08,4.092082
52_ACTI500_B3,2018-03-08,4.261244
52_ACTI500_D,2018-03-08,4.816262
52_ACTIPAT_A,2018-03-08,14.528989
52_ACTIPAT_B,2018-03-08,11.751693
52_ACTI500_A,2018-03-09,5.121551
52_ACTI500_B1,2018-03-09,3.749245
52_ACTI500_B2,2018-03-09,4.097433
52_ACTI500_B3,2018-03-09,4.266863
52_ACTI500_D,2018-03-09,4.822585
52_ACTIPAT_A,2018-03-09,14.655761
52_ACTIPAT_B,2018-03-09,11.853269
52_ACTI500_A,2018-03-12,5.197118
52_ACTI500_B1,2018-03-12,3.803657
52_ACTI500_B2,2018-03-12,4.157156
52_ACTI500_B3,2018-03-12,4.3292
52_ACTI500_D,2018-03-12,4.892957
52_ACTIPAT_A,2018-03-12,14.744005
52_ACTIPAT_B,2018-03-12,11.921737
52_ACTI500_A,2018-03-13,5.176663
52_ACTI500_B1,2018-03-13,3.788385
52_ACTI500_B2,2018-03-13,4.140551
52_ACTI500_B3,2018-03-13,4.311955
52_ACTI500_D,2018-03-13,4.873439
52_ACTIPAT_A,2018-03-13,14.79259
52_ACTIPAT_B,2018-03-13,11.960051
52_ACTI500_A,2018-03-14,5.1577
52_ACTI500_B1,2018-03-14,3.774208
52_ACTI500_B2,2018-03-14,4.125141
52_ACTI500_B3,2018-03-14,4.295956
52_ACTI500_D,2018-03-14,4.855328
52_ACTIPAT_A,2018-03-14,14.742777
52_ACTIPAT_B,2018-03-14,11.91881
52_ACTI500_A,2018-03-15,5.122598
52_ACTI500_B1,2018-03-15,3.748224
52_ACTI500_B2,2018-03-15,4.096825
52_ACTI500_B3,2018-03-15,4.266514
52_ACTI500_D,2018-03-15,4.822026
52_ACTIPAT_A,2018-03-15,14.646444
52_ACTIPAT_B,2018-03-15,11.839969
52_ACTI500_A,2018-03-16,5.147311
52_ACTI500_B1,2018-03-16,3.766007
52_ACTI500_B2,2018-03-16,4.116347
52_ACTI500_B3,2018-03-16,4.286893
52_ACTI500_D,2018-03-16,4.845031
52_ACTIPAT_A,2018-03-16,14.565521
52_ACTIPAT_B,2018-03-16,11.773597
52_ACTI500_A,2018-03-20,5.155806
52_ACTI500_B1,2018-03-20,3.771023
52_ACTI500_B2,2018-03-20,4.122171
52_ACTI500_B3,2018-03-20,4.293149
52_ACTI500_D,2018-03-20,4.85199
52_ACTIPAT_A,2018-03-20,14.528342
52_ACTIPAT_B,2018-03-20,11.739735
52_ACTI500_A,2018-03-21,5.110197
52_ACTI500_B1,2018-03-21,3.737368
52_ACTI500_B2,2018-03-21,4.085466
52_ACTI500_B3,2018-03-21,4.254969
52_ACTI500_D,2018-03-21,4.808812
52_ACTIPAT_A,2018-03-21,14.424327
52_ACTIPAT_B,2018-03-21,11.654739
52_ACTI500_A,2018-03-22,5.0075
52_ACTI500_B1,2018-03-22,3.661968
52_ACTI500_B2,2018-03-22,4.003126
52_ACTI500_B3,2018-03-22,4.16926
52_ACTI500_D,2018-03-22,4.71192
52_ACTIPAT_A,2018-03-22,14.580117
52_ACTIPAT_B,2018-03-22,11.779661
52_ACTI500_A,2018-03-23,4.928118
52_ACTI500_B1,2018-03-23,3.603631
52_ACTI500_B2,2018-03-23,3.939435
52_ACTI500_B3,2018-03-23,4.102971
52_ACTI500_D,2018-03-23,4.636976
52_ACTIPAT_A,2018-03-23,14.517582
52_ACTIPAT_B,2018-03-23,11.728186
52_ACTI500_A,2018-03-26,4.810142
52_ACTI500_B1,2018-03-26,3.516524
52_ACTI500_B2,2018-03-26,3.844449
52_ACTI500_B3,2018-03-26,4.004176
52_ACTI500_D,2018-03-26,4.525245
52_ACTIPAT_A,2018-03-26,14.276653
52_ACTIPAT_B,2018-03-26,11.530743
52_ACTI500_A,2018-03-27,4.881105
52_ACTI500_B1,2018-03-27,3.568118
52_ACTI500_B2,2018-03-27,3.900936
52_ACTI500_B3,2018-03-27,4.063054
52_ACTI500_D,2018-03-27,4.591759
52_ACTIPAT_A,2018-03-27,14.329112
52_ACTIPAT_B,2018-03-27,11.572173
52_ACTI500_A,2018-03-28,4.815365
52_ACTI500_B1,2018-03-28,3.519783
52_ACTI500_B2,2018-03-28,3.848171
52_ACTI500_B3,2018-03-28,4.008141
52_ACTI500_D,2018-03-28,4.529675
52_ACTIPAT_A,2018-03-28,14.320519
52_ACTIPAT_B,2018-03-28,11.564295
52_ACTI500_A,2018-03-31,4.815365
52_ACTI500_B1,2018-03-31,3.519783
52_ACTI500_B2,2018-03-31,3.848171
52_ACTI500_B3,2018-03-31,4.008141
52_ACTI500_D,2018-03-31,4.529675
52_ACTIPAT_A,2018-03-31,14.320519
52_ACTIPAT_B,2018-03-31,11.564295
52_ACTI500_A,2018-04-02,4.780081
52_ACTI500_B1,2018-04-02,3.492604
52_ACTI500_B2,2018-04-02,3.818851
52_ACTI500_B3,2018-04-02,3.977824
52_ACTI500_D,2018-04-02,4.495284
52_ACTIPAT_A,2018-04-02,14.13385
52_ACTIPAT_B,2018-04-02,11.408926
52_ROBOTIK_A,2018-04-02,1.005912
52_ROBOTIK_B-1,2018-04-02,1.004166
52_ROBOTIK_FF,2018-04-02,1.005912
52_ACTI500_A,2018-04-03,4.735484
52_ACTI500_B1,2018-04-03,3.459743
52_ACTI500_B2,2018-04-03,3.782999
52_ACTI500_B3,2018-04-03,3.940523
52_ACTI500_D,2018-04-03,4.453106
52_ACTIPAT_A,2018-04-03,14.050365
52_ACTIPAT_B,2018-04-03,11.340617
52_ROBOTIK_A,2018-04-03,1.006101
52_ROBOTIK_B-1,2018-04-03,1.004289
52_ROBOTIK_FF,2018-04-03,1.006101
52_ACTI500_A,2018-04-04,4.772149
52_ACTI500_B1,2018-04-04,3.486254
52_ACTI500_B2,2018-04-04,3.812066
52_ACTI500_B3,2018-04-04,3.970844
52_ACTI500_D,2018-04-04,4.487345
52_ACTIPAT_A,2018-04-04,14.283254
52_ACTIPAT_B,2018-04-04,11.527657
52_ROBOTIK_A,2018-04-04,1.006291
52_ROBOTIK_B-1,2018-04-04,1.004413
52_ROBOTIK_FF,2018-04-04,1.006292
52_ACTI500_A,2018-04-05,4.811284
52_ACTI500_B1,2018-04-05,3.514564
52_ACTI500_B2,2018-04-05,3.843101
52_ACTI500_B3,2018-04-05,4.003217
52_ACTI500_D,2018-04-05,4.523903
52_ACTIPAT_A,2018-04-05,14.485114
52_ACTIPAT_B,2018-04-05,11.689625
52_ROBOTIK_A,2018-04-05,1.00648
52_ROBOTIK_B-1,2018-04-05,1.004535
52_ROBOTIK_FF,2018-04-05,1.00648
52_ACTI500_A,2018-04-06,4.846548
52_ACTI500_B1,2018-04-06,3.540043
52_ACTI500_B2,2018-04-06,3.871042
52_ACTI500_B3,2018-04-06,4.032366
52_ACTI500_D,2018-04-06,4.556817
52_ACTIPAT_A,2018-04-06,14.625977
52_ACTIPAT_B,2018-04-06,11.802346
52_ROBOTIK_A,2018-04-06,1.006669
52_ROBOTIK_B-1,2018-04-06,1.004657
52_ROBOTIK_FF,2018-04-06,1.006669
52_ACTI500_A,2018-04-09,4.780782
52_ACTI500_B1,2018-04-09,3.491173
52_ACTI500_B2,2018-04-09,3.81784
52_ACTI500_B3,2018-04-09,3.97708
52_ACTI500_D,2018-04-09,4.494263
52_ACTIPAT_A,2018-04-09,14.608889
52_ACTIPAT_B,2018-04-09,11.785691
52_ROBOTIK_A,2018-04-09,1.007235
52_ROBOTIK_B-1,2018-04-09,1.00502
52_ROBOTIK_FF,2018-04-09,1.007235
52_ACTI500_A,2018-04-10,4.791484
52_ACTI500_B1,2018-04-10,3.49871
52_ACTI500_B2,2018-04-10,3.82616
52_ACTI500_B3,2018-04-10,3.985792
52_ACTI500_D,2018-04-10,4.504083
52_ACTIPAT_A,2018-04-10,14.64889
52_ACTIPAT_B,2018-04-10,11.817004
52_ROBOTIK_A,2018-04-10,1.00383
52_ROBOTIK_B-1,2018-04-10,1.001556
52_ROBOTIK_FF,2018-04-10,1.00383
52_ACTI500_A,2018-04-11,4.866249
52_ACTI500_B1,2018-04-11,3.553021
52_ACTI500_B2,2018-04-11,3.885635
52_ACTI500_B3,2018-04-11,4.047793
52_ACTI500_D,2018-04-11,4.57412
52_ACTIPAT_A,2018-04-11,14.714364
52_ACTIPAT_B,2018-04-11,11.868859
52_ROBOTIK_A,2018-04-11,1.011793
52_ROBOTIK_B-1,2018-04-11,1.009432
52_ROBOTIK_FF,2018-04-11,1.011793
52_ACTI500_A,2018-04-12,4.826433
52_ACTI500_B1,2018-04-12,3.52367
52_ACTI500_B2,2018-04-12,3.853616
52_ACTI500_B3,2018-04-12,4.014482
52_ACTI500_D,2018-04-12,4.536451
52_ACTIPAT_A,2018-04-12,14.752405
52_ACTIPAT_B,2018-04-12,11.898579
52_ROBOTIK_A,2018-04-12,1.007686
52_ROBOTIK_B-1,2018-04-12,1.005268
52_ROBOTIK_FF,2018-04-12,1.007686
52_ACTI500_A,2018-04-13,4.857521
52_ACTI500_B1,2018-04-13,3.546085
52_ACTI500_B2,2018-04-13,3.878209
52_ACTI500_B3,2018-04-13,4.040147
52_ACTI500_D,2018-04-13,4.565428
52_ACTIPAT_A,2018-04-13,14.842004
52_ACTIPAT_B,2018-04-13,11.969875
52_ROBOTIK_A,2018-04-13,1.011545
52_ROBOTIK_B-1,2018-04-13,1.00905
52_ROBOTIK_B-2,2018-04-13,1.011545
52_ROBOTIK_FF,2018-04-13,1.011545
52_ACTI500_A,2018-04-16,4.812519
52_ACTI500_B1,2018-04-16,3.512395
52_ACTI500_B2,2018-04-16,3.841603
52_ACTI500_B3,2018-04-16,4.002146
52_ACTI500_D,2018-04-16,4.522408
52_ACTIPAT_A,2018-04-16,14.847863
52_ACTIPAT_B,2018-04-16,11.971689
52_ROBOTIK_A,2018-04-16,1.006268
52_ROBOTIK_B-1,2018-04-16,1.003585
52_ROBOTIK_B-2,2018-04-16,1.006076
52_ROBOTIK_FF,2018-04-16,1.006268
52_ACTI500_A,2018-04-17,4.833373
52_ACTI500_B1,2018-04-17,3.527335
52_ACTI500_B2,2018-04-17,3.858022
52_ACTI500_B3,2018-04-17,4.019296
52_ACTI500_D,2018-04-17,4.541762
52_ACTIPAT_A,2018-04-17,14.763434
52_ACTIPAT_B,2018-04-17,11.90265
52_ROBOTIK_A,2018-04-17,1.006856
52_ROBOTIK_B-1,2018-04-17,1.004105
52_ROBOTIK_B-2,2018-04-17,1.0066
52_ROBOTIK_FF,2018-04-17,1.006857
52_ACTI500_A,2018-04-18,4.883132
52_ACTI500_B1,2018-04-18,3.563365
52_ACTI500_B2,2018-04-18,3.897511
52_ACTI500_B3,2018-04-18,4.060481
52_ACTI500_D,2018-04-18,4.588273
52_ACTIPAT_A,2018-04-18,14.924364
52_ACTIPAT_B,2018-04-18,12.03142
52_ROBOTIK_A,2018-04-18,1.01683
52_ROBOTIK_B-1,2018-04-18,1.013983
52_ROBOTIK_B-2,2018-04-18,1.016506
52_ROBOTIK_FF,2018-04-18,1.01683
52_ACTI500_A,2018-04-19,4.90403
52_ACTI500_B1,2018-04-19,3.578331
52_ACTI500_B2,2018-04-19,3.91396
52_ACTI500_B3,2018-04-19,4.077663
52_ACTI500_D,2018-04-19,4.607663
52_ACTIPAT_A,2018-04-19,14.941658
52_ACTIPAT_B,2018-04-19,12.044386
52_ROBOTIK_A,2018-04-19,1.023801
52_ROBOTIK_B-1,2018-04-19,1.020866
52_ROBOTIK_B-2,2018-04-19,1.02341
52_ROBOTIK_FF,2018-04-19,1.023801
52_ACTI500_A,2018-04-20,4.973418
52_ACTI500_B1,2018-04-20,3.628673
52_ACTI500_B2,2018-04-20,3.969106
52_ACTI500_B3,2018-04-20,4.135162
52_ACTI500_D,2018-04-20,4.672608
52_ACTIPAT_A,2018-04-20,14.862137
52_ACTIPAT_B,2018-04-20,11.979313
52_ROBOTIK_A,2018-04-20,1.030117
52_ROBOTIK_B-1,2018-04-20,1.027096
52_ROBOTIK_B-2,2018-04-20,1.029659
52_ROBOTIK_FF,2018-04-20,1.030117
52_ACTI500_A,2018-04-23,4.969116
52_ACTI500_B1,2018-04-23,3.62467
52_ACTI500_B2,2018-04-23,3.964974
52_ACTI500_B3,2018-04-23,4.130995
52_ACTI500_D,2018-04-23,4.667819
52_ACTIPAT_A,2018-04-23,14.781001
52_ACTIPAT_B,2018-04-23,11.911018
52_ROBOTIK_A,2018-04-23,1.027118
52_ROBOTIK_B-1,2018-04-23,1.023901
